Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7n,C_0603_1608Metric,62.434999,-50.399999,90.0,top
C2,4.7n,C_0603_1608Metric,62.434999,-62.100002,90.0,top
C3,4.7n,C_0603_1608Metric,110.135002,-50.399999,90.0,top
C4,4.7n,C_0603_1608Metric,110.135002,-62.100002,90.0,top
C5,4.7n,C_0603_1608Metric,62.434999,-85.500008,90.0,top
C6,4.7n,C_0603_1608Metric,62.434999,-73.800005,90.0,top
C7,4.7n,C_0603_1608Metric,110.135002,-85.500008,90.0,top
C8,4.7n,C_0603_1608Metric,110.135002,-73.800005,90.0,top
C9,4.7n,C_0603_1608Metric,62.434999,-97.200011,90.0,top
C10,4.7n,C_0603_1608Metric,62.434999,-108.900014,90.0,top
C11,4.7n,C_0603_1608Metric,110.135002,-97.200011,90.0,top
C12,4.7n,C_0603_1608Metric,110.135002,-108.900014,90.0,top
C13,4.7n,C_0603_1608Metric,62.434999,-120.600017,90.0,top
C14,4.7n,C_0603_1608Metric,110.135002,-120.600017,90.0,top
F1,500mA,Fuse_1206_3216Metric,61.574999,-59.225002,0.0,top
F2,500mA,Fuse_1206_3216Metric,61.574999,-47.524999,0.0,top
F3,500mA,Fuse_1206_3216Metric,109.275002,-47.524999,0.0,top
F4,500mA,Fuse_1206_3216Metric,109.275002,-59.225002,0.0,top
F5,500mA,Fuse_1206_3216Metric,61.574999,-70.925005,0.0,top
F6,500mA,Fuse_1206_3216Metric,61.574999,-82.625008,0.0,top
F7,500mA,Fuse_1206_3216Metric,109.275002,-70.925005,0.0,top
F8,500mA,Fuse_1206_3216Metric,109.275002,-82.625008,0.0,top
F9,500mA,Fuse_1206_3216Metric,61.574999,-94.325011,0.0,top
F10,500mA,Fuse_1206_3216Metric,61.574999,-106.025014,0.0,top
F11,500mA,Fuse_1206_3216Metric,109.275002,-94.325011,0.0,top
F12,500mA,Fuse_1206_3216Metric,109.275002,-106.025014,0.0,top
F13,500mA,Fuse_1206_3216Metric,61.574999,-117.725017,0.0,top
F14,500mA,Fuse_1206_3216Metric,109.275002,-117.725017,0.0,top
J1,Conn_01x04,JST-SR-4,40.299999,-52.349999,0.0,top
